no;id;state;partition;time;y;cov1;cov2;cov3;cov4;cluster
1;1;3;0;1;836.9264497;-0.289902697;0.887185077;-0.000692168;-0.408299305;46
2;1;3;0;2;1107.99147;-0.289902697;0.887185077;-0.000692168;-0.408299305;46
3;1;3;0;3;1376.140495;-0.289902697;0.887185077;-0.000692168;-0.408299305;46
4;2;2;0;1;1138.771619;4.75434596;0.167667113;1.453829849;1.283364815;11
5;2;2;0;2;1599.17368;4.75434596;0.167667113;1.453829849;1.283364815;11
6;2;2;0;3;2053.168887;4.75434596;0.167667113;1.453829849;1.283364815;11
7;3;2;1;1;1162.389311;0.362700015;0.080441226;-0.202310916;1.039117074;6
8;3;2;1;2;1475.918909;0.362700015;0.080441226;-0.202310916;1.039117074;6
9;3;2;1;3;1787.839545;0.362700015;0.080441226;-0.202310916;1.039117074;6
10;4;2;0;1;705.6920307;-0.157197155;0.792219576;-0.031462645;1.402167046;38
11;4;2;0;2;989.4990964;-0.157197155;0.792219576;-0.031462645;1.402167046;38
12;4;2;0;3;1271.588719;-0.157197155;0.792219576;-0.031462645;1.402167046;38
13;5;2;1;1;649.0843952;-1.193561947;-2.697024531;0.52929668;-1.324962028;16
14;5;2;1;2;824.3842054;-1.193561947;-2.697024531;0.52929668;-1.324962028;16
15;5;2;1;3;1004.294116;-1.193561947;-2.697024531;0.52929668;-1.324962028;16
16;6;2;1;1;988.6733324;-0.624079583;0.393124842;0.741482703;-0.791406967;28
17;6;2;1;2;1256.082949;-0.624079583;0.393124842;0.741482703;-0.791406967;28
18;6;2;1;3;1522.136683;-0.624079583;0.393124842;0.741482703;-0.791406967;28
19;7;0;0;1;220.2740954;1.343438069;-0.097601059;-1.462720811;-0.230896641;37
20;7;0;0;2;442.9231576;1.343438069;-0.097601059;-1.462720811;-0.230896641;37
21;7;0;0;3;664.6829803;1.343438069;-0.097601059;-1.462720811;-0.230896641;37
22;8;3;0;1;678.6118147;-0.235814302;-1.73371462;-0.084424517;-0.638680524;10
23;8;3;0;2;900.9698429;-0.235814302;-1.73371462;-0.084424517;-0.638680524;10
24;8;3;0;3;1121.638965;-0.235814302;-1.73371462;-0.084424517;-0.638680524;10
25;9;3;1;1;1617.093509;0.529385314;0.394174998;1.140779438;1.727910269;1
26;9;3;1;2;1991.833858;0.529385314;0.394174998;1.140779438;1.727910269;1
27;9;3;1;3;2394.970293;0.529385314;0.394174998;1.140779438;1.727910269;1
28;10;3;0;1;909.0928716;0.736650719;0.099945629;-0.79145092;0.445833351;9
29;10;3;0;2;1204.51279;0.736650719;0.099945629;-0.79145092;0.445833351;9
30;10;3;0;3;1497.855233;0.736650719;0.099945629;-0.79145092;0.445833351;9
31;11;2;0;1;670.4655399;0.033199567;-0.453357531;-0.153216417;1.486607034;39
32;11;2;0;2;938.8854032;0.033199567;-0.453357531;-0.153216417;1.486607034;39
33;11;2;0;3;1205.003873;0.033199567;-0.453357531;-0.153216417;1.486607034;39
34;12;3;0;1;807.3398488;-0.169214665;-0.813287222;-0.092537713;0.588698075;40
35;12;3;0;2;1065.427977;-0.169214665;-0.813287222;-0.092537713;0.588698075;40
36;12;3;0;3;1327.214807;-0.169214665;-0.813287222;-0.092537713;0.588698075;40
37;13;3;1;1;1216.719372;-0.386778555;1.359877339;-0.048030857;-1.038455617;41
38;13;3;1;2;1503.032676;-0.386778555;1.359877339;-0.048030857;-1.038455617;41
39;13;3;1;3;1811.220099;-0.386778555;1.359877339;-0.048030857;-1.038455617;41
40;14;3;0;1;892.2215576;0.847908215;-0.600203444;-1.06593114;0.94920739;41
41;14;3;0;2;1184.013144;0.847908215;-0.600203444;-1.06593114;0.94920739;41
42;14;3;0;3;1475.363584;0.847908215;-0.600203444;-1.06593114;0.94920739;41
43;15;0;0;1;227.4054038;0.163220628;0.384187834;-0.038311183;0.614980084;40
44;15;0;0;2;457.473887;0.163220628;0.384187834;-0.038311183;0.614980084;40
45;15;0;0;3;683.8687315;0.163220628;0.384187834;-0.038311183;0.614980084;40
46;16;3;0;1;734.7670493;-0.592853007;-2.067705969;0.999743023;0.334879436;27
47;16;3;0;2;975.8128557;-0.592853007;-2.067705969;0.999743023;0.334879436;27
48;16;3;0;3;1214.846084;-0.592853007;-2.067705969;0.999743023;0.334879436;27
49;17;3;1;1;1586.928948;2.232167852;-0.250062309;-2.426214507;2.16346632;40
50;17;3;1;2;1955.635375;2.232167852;-0.250062309;-2.426214507;2.16346632;40
51;17;3;1;3;2351.650334;2.232167852;-0.250062309;-2.426214507;2.16346632;40
52;18;2;0;1;586.2032516;-0.73160441;1.037104973;0.795976143;-1.42476731;34
53;18;2;0;2;823.2233221;-0.73160441;1.037104973;0.795976143;-1.42476731;34
54;18;2;0;3;1055.430801;-0.73160441;1.037104973;0.795976143;-1.42476731;34
55;19;3;0;1;568.2591808;-0.33412756;-1.991999639;-0.179260254;-2.076258443;47
56;19;3;0;2;755.2693385;-0.33412756;-1.991999639;-0.179260254;-2.076258443;47
57;19;3;0;3;938.8503552;-0.33412756;-1.991999639;-0.179260254;-2.076258443;47
58;20;2;0;1;335.043582;-1.148792644;-2.972721148;-0.642370534;-1.250399785;18
59;20;2;0;2;469.7647416;-1.148792644;-2.972721148;-0.642370534;-1.250399785;18
60;20;2;0;3;604.7236078;-1.148792644;-2.972721148;-0.642370534;-1.250399785;18
61;21;3;0;1;879.5494105;-0.043894595;1.363847179;0.047484405;-0.621830409;17
62;21;3;0;2;1164.087074;-0.043894595;1.363847179;0.047484405;-0.621830409;17
63;21;3;0;3;1447.322415;-0.043894595;1.363847179;0.047484405;-0.621830409;17
64;22;3;1;1;1000.479726;-0.803122098;-0.407890525;-0.873829653;-0.316812317;36
65;22;3;1;2;1231.844221;-0.803122098;-0.407890525;-0.873829653;-0.316812317;36
66;22;3;1;3;1489.667023;-0.803122098;-0.407890525;-0.873829653;-0.316812317;36
67;23;2;0;1;683.7641582;0.240346177;-0.067442736;0.331356243;0.587236232;9
68;23;2;0;2;957.4435397;0.240346177;-0.067442736;0.331356243;0.587236232;9
69;23;2;0;3;1234.020508;0.240346177;-0.067442736;0.331356243;0.587236232;9
70;24;3;1;1;1597.562708;-1.209660787;3.987497665;4.069152505;-1.507329063;28
71;24;3;1;2;1970.625674;-1.209660787;3.987497665;4.069152505;-1.507329063;28
72;24;3;1;3;2366.48762;-1.209660787;3.987497665;4.069152505;-1.507329063;28
